account_ID,account,sector,year_established,revenue_in_mill,employees,office_location,subsidiary_of,business_type
AC001,Acme Corporation,technolgy,1996,1100.04,2822,United States,,Large Enterprise & Corporation
BE002,Betasoloin,medical,1999,251.41,495,United States,,Mid-Market / Mid-Size Enterprise
BE003,Betatech,medical,1986,647.18,1185,Kenya,,Mid-Market / Mid-Size Enterprise
BI004,Bioholding,medical,2012,587.34,1356,Philipines,,Mid-Market / Mid-Size Enterprise
BI005,Bioplex,medical,1991,326.82,1016,United States,,Mid-Market / Mid-Size Enterprise
BL006,Blackzim,retail,2009,497.11,1588,United States,,Mid-Market / Mid-Size Enterprise
BL007,Bluth Company,technolgy,1993,1242.32,3027,United States,Acme Corporation,Large Enterprise & Corporation
BU008,Bubba Gump,software,2002,987.39,2253,United States,,Large Enterprise & Corporation
CA009,Cancity,retail,2001,718.62,2448,United States,,Large Enterprise & Corporation
CH010,Cheers,entertainment,1993,4269.9,6472,United States,Massive Dynamic,Large Enterprise & Corporation
CO011,Codehow,software,1998,2714.9,2641,United States,Acme Corporation,Large Enterprise & Corporation
CO012,Condax,medical,2017,4.54,9,United States,,Small Business
CO013,Conecom,technolgy,2005,1520.66,1806,United States,,Mid-Market / Mid-Size Enterprise
DA014,Dalttechnology,software,2013,98.79,96,United States,Bubba Gump,Medium Business
DA015,dambase,marketing,1995,2173.98,2928,United States,Inity,Large Enterprise & Corporation
DO016,Domzoom,entertainment,1998,217.87,551,United States,,Mid-Market / Mid-Size Enterprise
DO017,Doncon,technolgy,2010,587.72,1501,United States,,Mid-Market / Mid-Size Enterprise
DO018,Donquadtech,technolgy,1992,1712.68,3194,United States,Acme Corporation,Large Enterprise & Corporation
DO019,Dontechi,software,1982,4618.0,10083,United States,,Large Enterprise & Corporation
DO020,Donware,marketing,1999,1197.44,2570,United States,,Large Enterprise & Corporation
FA021,Fasehatice,retail,1990,4968.91,7523,United States,,Large Enterprise & Corporation
FA022,Faxquote,telecommunications,1995,1825.82,5595,United States,Sonron,Large Enterprise & Corporation
FI023,Finhigh,finance,2006,1102.43,1759,United States,,Mid-Market / Mid-Size Enterprise
FI024,Finjob,employment,1988,2059.9,3644,United States,,Large Enterprise & Corporation
FU025,Funholding,finance,1991,2819.5,7227,United States,Golddex,Large Enterprise & Corporation
GA026,Ganjaflex,retail,1995,5158.71,17479,Japan,,Large Enterprise & Corporation
GE027,Gekko & Co,retail,1990,2520.83,3502,United States,,Large Enterprise & Corporation
GE028,Genco Pura Olive Oil Company,retail,2007,894.33,1635,Italy,,Mid-Market / Mid-Size Enterprise
GL029,Globex Corporation,technolgy,2000,1223.72,2497,Norway,,Large Enterprise & Corporation
GO030,Gogozoom,telecommunications,2007,86.68,187,United States,Sonron,Medium Business
GO031,Golddex,finance,2008,52.5,165,United States,,Medium Business
GO032,Goodsilron,marketing,2000,2952.73,5107,United States,,Large Enterprise & Corporation
GR033,Green-Plus,services,2003,692.19,1922,United States,,Mid-Market / Mid-Size Enterprise
GR034,Groovestreet,retail,2003,223.8,299,United States,,Mid-Market / Mid-Size Enterprise
HA035,Hatfan,services,1982,792.46,1299,United States,,Mid-Market / Mid-Size Enterprise
HO036,Hottechi,technolgy,1997,8170.38,16499,Korea,,Large Enterprise & Corporation
IN037,Initech,telecommunications,1994,6395.05,20275,United States,,Large Enterprise & Corporation
